size_kb,seq,random,random_idx
453,1.35849,14.5534,2.35917
454,1.42453,14.6326,2.3294
455,1.42391,14.488,2.36358
456,1.37942,14.5382,2.35696
457,1.38645,14.3205,2.38662
458,1.44611,14.555,2.37461
459,1.3654,13.8474,2.36585
460,1.3874,13.6746,2.32648
461,1.36304,13.8101,2.33709
462,1.38672,14.4155,2.35334
463,1.38585,14.3975,2.37873
464,1.38675,14.6496,2.37608
465,1.36472,14.374,2.32757
466,1.38607,14.4731,2.3775
467,1.38628,13.966,2.38891
468,1.39278,13.8727,2.37645
469,1.36532,14.561,2.38398
470,1.37847,15.3796,2.381
471,1.3644,14.3748,2.33658
472,1.42477,14.628,2.34137
473,1.35724,14.228,2.33434
474,1.35749,14.405,2.38237
475,1.38606,14.3356,2.38357
476,1.42416,14.5874,2.37063
477,1.4463,14.4392,2.38286
478,1.36398,14.4265,2.37066
479,1.37894,13.9128,2.33455
480,1.35796,14.1463,2.38164
481,1.37833,14.1513,2.38522
482,1.385,14.3065,2.38673
483,1.38689,14.5961,2.34579
484,1.35792,14.6972,3.7931
485,1.40485,14.1253,2.37772
486,1.40027,14.0716,2.40659
487,1.39334,13.9739,2.34774
488,1.36427,13.9403,2.38024
489,1.3853,14.0648,2.39753
490,1.38649,14.8011,2.3923
491,1.38634,14.6714,2.39244
492,1.38653,14.6512,2.38291
493,1.38571,14.6688,2.38839
494,1.3859,14.5896,2.39518
495,1.38575,14.5774,2.39233
496,1.45341,14.6859,2.39214
497,1.36531,14.2457,2.44839
498,1.3863,14.1535,2.38945
499,1.38615,13.9068,2.40274
500,1.36434,14.6603,2.34445
501,1.3603,14.3131,2.32667
502,1.45336,14.679,2.39525
503,1.45405,14.5445,2.37776
504,1.3981,14.4603,2.38736
505,1.36383,14.418,2.40149
506,1.42598,14.6641,2.43467
507,1.38596,14.2637,2.45091
508,1.3871,14.6109,2.40022
509,1.42402,14.5697,2.46415
510,1.3807,14.5382,2.34223
511,1.378,14.7964,2.38196
512,1.3785,14.475,2.33917
513,1.38542,14.5238,2.37811
514,1.38654,13.8278,2.34731
515,1.36379,14.2486,2.40423
516,1.39294,13.8041,2.4549
517,1.38644,14.4638,2.3816
518,1.3863,14.276,2.39949
519,1.38552,14.6749,2.42079
520,1.39358,14.0346,2.34356
521,1.36414,14.44,2.37906
522,1.36467,14.4413,2.34025
523,1.35736,14.286,2.33734
524,1.38638,13.656,2.36857
525,1.40781,13.7459,2.43187
526,1.39297,14.008,2.4023
527,1.38566,13.7557,2.38249
528,1.39391,13.981,2.47989
529,1.3798,13.8203,2.35393
530,1.39391,25.0344,4.01241
531,2.28915,26.4743,2.40038
532,1.38929,15.0315,2.40697
533,1.94166,14.6705,2.36983
534,1.38716,14.7924,2.5147
535,1.46736,14.255,2.36925
536,1.44626,13.6518,2.39972
537,1.37849,13.8283,2.36287
538,1.39972,14.1841,2.42129
539,1.40047,14.292,2.41863
540,1.37843,14.1258,2.38498
541,1.38559,13.8844,2.3554
542,1.38091,14.189,2.34894
543,1.35842,14.3686,2.38057
544,1.3502,14.0539,2.34845
545,1.38565,14.9291,2.39622
546,1.42428,14.4964,2.34886
547,1.38658,14.6268,2.40395
548,1.38585,14.6414,2.45675
549,1.37913,14.5606,2.39161
550,1.38618,13.8511,2.36697
551,1.38515,13.7452,2.41359
552,1.38472,14.6438,2.41576
553,1.38697,14.5648,2.40754
554,1.44636,14.6732,2.41059
555,1.4541,14.5416,2.40152
556,1.44765,14.6494,2.40369
557,1.37907,14.5088,2.41882
558,1.39336,14.0932,2.43007
559,1.39232,14.3976,2.42542
560,1.38691,14.6613,2.4167
561,1.45375,14.5986,2.36297
562,1.37847,14.1082,2.41861
563,1.37923,14.4258,2.44812
564,1.36399,14.6085,2.40829
565,1.38567,13.9169,2.46297
566,1.3638,13.9856,2.41253
567,1.36429,13.9861,2.40538
568,1.44681,13.5776,2.46585
569,1.39295,14.2936,2.42893
570,1.39309,14.365,2.45691
571,1.39295,14.2703,2.41353
572,1.3865,14.4315,2.46839
573,1.37921,14.6969,2.4094
574,1.38567,14.4269,2.3689
575,1.38269,14.173,2.39788
576,1.35693,14.3258,2.41138
577,1.37989,14.0318,2.41886
578,1.3653,14.4926,2.40502
579,1.45389,17.7751,2.65362
580,1.4528,14.3345,2.40748
581,1.36446,14.1599,2.52391
582,1.35817,14.4524,2.36143
583,1.38623,14.7552,2.40156
584,1.37936,14.6353,2.43818
585,1.39299,14.6509,2.41494
586,1.36429,14.4115,2.41558
587,1.3575,14.5015,2.41538
588,1.37277,14.3281,2.36468
589,1.38548,13.8971,2.40606
590,1.39231,14.1491,2.41394
591,1.38551,14.621,2.40403
592,1.37153,13.8813,2.4105
593,1.38582,14.165,2.36687
594,1.38596,14.6877,2.42034
595,1.38529,13.985,2.3705
596,1.35654,14.4083,2.40616
597,1.37268,14.08,2.38042
598,1.39371,14.2737,2.37644
599,1.36427,14.618,2.40041
600,1.3784,14.2543,2.36059
601,1.42469,14.7654,2.42081
602,1.4316,14.0791,2.44459
603,1.36447,14.629,2.41686
604,1.36438,14.1748,2.42155
605,1.43697,14.1715,2.43653
606,1.36448,14.5003,2.36564
607,1.36466,14.1421,2.38877
608,1.38886,14.2011,2.43557
609,1.45366,14.9472,2.42026
610,1.44698,14.7524,2.47573
611,1.37936,14.5522,2.47839
612,1.39265,14.4286,2.42341
613,1.37968,14.5226,2.52919
614,1.39854,14.6761,2.44036
615,1.36639,14.8238,2.45107
616,1.38841,14.82,2.4636
617,1.4279,14.7574,2.48859
618,1.45665,14.8116,2.49014
619,1.38009,14.5637,2.46995
620,1.42893,14.6397,2.39981
621,1.42768,14.9844,2.53253
622,1.42592,14.9437,2.48362
623,1.44759,14.9824,2.47726
624,1.42634,13.9232,2.48197
625,1.43351,14.2031,2.49874
626,1.38772,14.2103,2.46041
627,1.38786,14.7172,2.50778
628,1.38826,14.512,2.44918
629,1.38006,14.4931,2.48259
630,1.3875,14.818,2.49479
631,1.3892,14.744,2.45574
632,1.46332,14.4422,2.48378
633,1.44935,14.6822,2.93032
634,1.39738,14.4315,2.49846
635,1.36702,14.4949,2.50253
636,1.45799,14.7852,2.51279
637,1.36633,14.7587,2.50601
638,1.36547,14.4506,2.5008
639,1.38105,14.436,2.50715
640,1.36633,14.3265,2.50042
641,1.38928,14.6561,2.64394
642,1.3884,14.5568,2.50361
643,1.42273,15.0754,2.51784
644,1.4195,14.7096,2.46909
645,1.39339,14.7137,2.42406
646,1.43872,14.6696,2.36341
647,1.36448,14.4068,2.38461
648,1.38694,14.5768,2.36346
649,1.42423,14.6155,2.33024
650,1.42356,14.2005,2.36603
651,1.38533,14.5887,2.38886
652,1.36408,14.5384,2.39728
653,1.43134,14.6867,2.3931
654,1.37923,14.4957,2.39898
655,1.38514,14.8155,2.39506
656,1.38577,14.7384,2.40066
657,1.45434,14.5584,2.34857
658,1.45362,14.1929,2.40883
659,1.39242,14.4559,2.40293
660,1.40025,13.781,2.37965
661,1.40284,14.1531,2.40286
662,1.37817,14.4058,2.37023
663,1.36471,13.8693,2.39932
664,1.37897,14.6804,2.31392
665,1.44942,14.8226,2.42072
666,1.37162,14.3478,2.37792
667,1.5934,14.2914,2.35911
668,1.38544,13.8979,2.39634
669,1.364,13.8249,2.45235
670,1.40384,13.9137,2.39164
671,1.39319,14.026,2.3712
672,1.36426,14.1177,2.40381
673,1.38563,14.1779,2.37513
674,1.36434,14.4385,2.3626
675,1.3859,14.5546,2.39191
676,1.38507,14.7285,2.36022
677,1.36412,14.6966,2.41998
678,1.38388,14.7272,2.38907
679,1.44757,15.2532,2.38048
680,1.44809,14.1159,2.39338
681,1.37803,13.4685,2.40023
682,1.39429,14.4072,2.3599
683,1.39249,14.6402,2.35669
684,1.36455,14.5397,2.36715
685,1.36495,14.5898,2.35915
686,1.37875,14.3284,2.34471
687,1.38558,14.6577,2.40458
688,1.36401,14.8333,2.38153
689,1.43584,14.3032,2.3364
690,1.37883,14.6104,2.32826
691,1.37993,14.7485,2.3738
692,1.38576,14.9743,2.41494
693,1.37784,14.6596,2.37453
694,1.37846,14.4217,2.40869
695,1.4022,14.7144,2.426
696,1.38015,14.2532,2.42841
697,1.39253,14.2633,2.36419
698,1.38654,14.564,2.4104
699,1.40239,14.2361,2.41259
700,1.38539,14.3869,2.35922
701,1.39278,14.3603,2.40851
702,1.39406,14.6352,2.34549
703,1.37855,14.4044,2.33514
704,1.4486,14.0152,2.30526
705,1.44607,14.2169,2.36459
706,1.38593,14.1749,2.31291
707,1.38931,14.2762,2.37624
708,1.3804,14.5594,2.39281
709,1.42403,14.5358,2.28808
710,1.44074,14.7783,2.44546
711,1.4461,14.7372,2.39033
712,1.37126,14.3725,2.32752
713,1.43123,13.7092,2.34405
714,1.38556,14.1751,2.36834
715,1.39212,14.8425,2.44992
716,1.38582,14.5977,2.33743
717,1.38504,14.7203,2.37284
718,1.39293,14.3095,2.39307
719,1.3862,14.5381,2.33293
720,1.38587,14.7791,2.38529
721,1.42559,14.3385,2.44706
722,1.37817,16.1586,2.38845
723,1.38579,17.3421,2.41397
724,1.38615,14.8313,2.38117
725,1.45439,14.91,2.42383
726,1.45532,14.8045,2.41235
727,1.38404,14.4292,2.39075
728,1.59059,15.9603,2.44832
729,1.41085,15.1561,2.47714
730,1.38667,14.7665,2.41194
731,1.38724,14.2968,2.46991
732,1.40013,14.0991,2.43046
733,1.3942,14.4773,2.39804
734,1.35698,14.2994,2.36572
735,1.38571,14.8826,2.41853
736,1.4244,14.8786,2.409
737,1.37194,14.4043,2.3621
738,1.36363,14.5418,2.39402
739,1.38443,13.855,2.41321
740,1.40406,14.6874,2.41261
741,1.419,14.4355,2.39164
742,1.39497,14.715,2.42954
743,1.36549,14.8961,2.39602
744,1.38549,14.226,2.39875
745,1.44639,14.667,2.3821
746,1.38705,14.6286,2.41849
747,1.38564,14.7962,2.35003
748,1.37874,14.7994,2.42387
749,1.40121,13.8686,2.39566
750,1.39431,13.9394,2.39466
751,1.36755,14.2804,2.37443
752,1.37773,14.6725,2.3968
753,1.3783,14.2083,2.42107
754,1.38648,13.808,2.37303
755,1.3866,13.8619,2.43551
756,1.39952,14.311,2.39931
757,1.38575,14.4592,2.41998
758,1.38522,14.6234,2.41137
759,1.41971,14.6273,2.41468
760,1.36927,14.6486,2.41647
761,1.37782,14.832,2.46654
762,1.38032,14.4616,2.4717
763,1.3869,14.3831,2.42675
764,1.39324,14.4319,2.43388
765,1.38563,14.3978,2.42577
766,1.3926,14.5718,2.38897
767,1.38544,14.3507,2.42586
768,1.38535,14.3969,2.42633
